艺人名,别名
"椅子乐团 The Chairs","椅子乐团 / The Chairs / 椅子"
暴力香槟,"violent champagne"
"Black Hearted Brother",
"Brian Eno",布莱恩·伊诺
"Chill Carrier",
美玉,
"Billie Eilish","Billie Eilish Pirate Baird O'Connell  / 碧梨 / ビリーアイリ"
"Lauge & Baba Gnohm",
"Saafi Brothers",
"eason and the duo band","the duo band"
GOOOOOSE,"GOOOOOSE from Duck Fight Goose"
丁薇,Dingwei
王景飞,
Kraftwerk,发电站乐队
"Dominique A","Dominique Ané"
"Allan Holdsworth",阿伦·霍尔兹沃思
发光曲线,"Glow Curve"
魏如萱,"娃娃 / Waa Wei"
周杰伦,"Jay Chou"
不一样乐队,窦唯+张荐+刘元+武权+杨一
"The xx",
ARC,
"Tord Gustavsen Trio","Tord Gustavsen+Harald Johnsen+Jarle Vespestad"
Snapline,粉笔线
ピコ太郎,"古坂大魔王 / PIKO太郎 / PIKO TARO"
"James Brown",詹姆斯·布朗
缺省,缺省||大马路
上海彩虹室内合唱团,"Rainbow Chamber Singers"
张所思,"Sushi Jam"
"The Shanghai Restoration Project","上海复兴方案 / 上海复兴计划"
"Jimi Hendrix",吉米·亨德里克斯
Primus,
WAV,多种效应
FUSS,
Zafka,
"Behind the Shadow Drops",
谢玉岗,
"Minor Victories",
"Blonde Redhead",红发美女
"A Winged Victory for the Sullen",
Hangedup,
周迅,
"Clint Mansell",克林·曼瑟
衣湿,衣湿乐队
"Explosions In The Sky",天空大爆炸
"My Bloody Valentine",我的血腥情人节
Hammock,
"The Telescopes",
"Joy Division","快乐分裂 / 快乐小分队"
"Cliff Martinez",
"Mains De Givre",
Nadja,
Destroyalldreamers,
"Aidan Baker",
Thisquietarmy,"Eric Quach"
"The Music Tapes",
"April Rain",
2:54,
无所在乐队,
"Black to Comm",
"Brian McBride",
"Nurse with Wound",受伤的护士
"David Tibet",
"Throbbing Gristle","跳动的软骨 / 悸动软骨"
Arcana,
"K.K. Null",岸野一之
"Strata Florida",
Swallow,
Swans,天鹅乐队
P.K.14,"PK14 / The Public Kingdom for Teens"
街道杀死奇怪的动物,"Streets Kill Strange Animals"
"Yoko Ono",小野洋子
"Mojave 3",
sayCet,
Bonobo,"Simon Green"
潘协庆,"Tom Pan"
杨瑞代,"Gary Yang"
乌青,
"La Monte Young","拉·蒙特·扬 / La Monte Thornton Young"
"Terry Riley",特里·瑞里
"Philip Glass",菲利普-格拉斯
张亚东,张亚栋
莫西子诗,莫春林
"Bedřich Smetana",贝德里赫·斯美塔那
"Takaakira 'Taka' Goto",
Inventions,
Slowdive,慢潜乐队
Deafheaven,
Amesoeurs,灵魂伴侣
Heretoir,
"Efrim Manuel Menuck",
"Silent G",寂乐团
Cygna,"Mario Sammut"
"Pilot Speed",Pilate
"Richard Skelton",
"Bark Psychosis",狂犬症
"Carbon Based Lifeforms",
"Daisuke Miyatani",
"Sigur Rós","西格尔·罗斯 / 胜利玫瑰 / Sigur Ros"
窦唯,"Dou Wei"
"Chui Wan",吹万
"Elizabeth Fraser",
Loscil,"Scott Morgan"
"The Seven Mile Journey",七英里
"John Zorn",约翰·佐恩
3epkano,
沼泽,
陈弘礼,陈底里
"Yann Tiersen",扬·提尔森
花伦,HuaLun
声音碎片,
"Yndi Halda",
"Our Last Hope Lost Hope",
"Set Fire to Flames",
Hrsta,HṚṢṬA
"Thee Silver Mt. Zion Memorial Orchestra","A Silver Mt. Zion"
"Dirty Three",
"The Evpatoria Report",
田原,
"world's end girlfriend","世界末日女朋友 / 前田勝彦 / WEG / ワールズ・エンド・ガールフレンド"
"Silent Whale Becomes A° Dream",
"Svarti Loghin",
跳房子,田原
Empyrium,
"Sonic Youth",音速青年
"Ian Widgery",
张楚,"Zhang Chu / 张红兵"
Hypomanie,
"Vitaliy Sytnik",
"Sun Devoured Earth",
Mooncake,
Fragile,
惘闻,"Wang Wen / 罔聞 / 惘聞"
"Godspeed You! Black Emperor","Godspeed You Black Emperor!"
MONO,
"Miss Woman",
MØN,"MØN - Rock Orchestra"
Alcest,
布拉格,Prague
Любэ,"Lubeh / Lube / 柳拜"
王菲,"王靖雯 / 夏林 / Faye Wong"
朴树,"Pu Shu / 濮树"
"Sixpence None the Richer",
"The Cranberries","小红莓 / 卡百利"
Arco,
"The Innocence Mission",纯真使团
自然卷,
苏打绿,Sodagreen
"Cocteau Twins","极地双子星 / 双声鸟 / 孪生卡度"
"Velour 100",
梁静茹,"梁翠萍 / Fish Leong"
"Mark Sholtez",
"Rosie Thomas",萝丝·托马斯
陈绮贞,"Cheer Chen"
王若琳,"Joanna Wang"
